Date,Body fat(%),Sleep(hours),Heart rate(bpm),Weight(lbs)
2018-10-15,,,92.0,
2018-10-16,,,51.0,
2018-10-17,,,56.0,
2018-10-18,,,58.0,
2018-10-19,,,57.0,
2018-10-20,,,85.0,
2018-10-21,,,51.0,
2018-10-22,,,56.0,
2018-10-23,,,55.0,
2018-10-24,,,51.0,
2018-10-25,,,54.0,
2018-10-26,,,60.0,
2018-10-27,,,57.0,
2018-10-28,,,69.0,
2018-10-29,,,51.0,
2018-10-30,,,66.0,
2018-10-31,,,68.0,
2018-11-01,,,67.0,
2018-11-02,,,55.0,169.0
2018-11-03,,,62.0,
2018-11-04,,,56.0,167.0
2018-11-05,,,88.0,169.0
2018-11-06,,,63.0,
2018-11-07,,,54.0,170.0
2018-11-08,,,60.0,171.0
2018-11-09,,,90.0,
2018-11-10,,,101.0,170.0
2018-11-11,,,67.0,169.0
2018-11-12,,,62.0,
2018-11-13,,,59.0,168.0
2018-11-14,,,57.0,
2018-11-15,,,61.0,
2018-11-16,,,103.0,
2018-11-17,,,67.0,
2018-11-18,,,54.0,170.0
2018-11-19,,,63.0,169.0
2018-11-20,,,52.0,
2018-11-21,,,51.0,167.0
2018-11-22,,,54.0,
2018-11-23,,,65.0,
2018-11-24,,,62.0,
2018-11-25,,,57.0,169.0
2018-11-26,,,58.0,170.0
2018-11-27,,,57.0,171.0
2018-11-28,,,63.0,171.0
2018-11-29,,,58.0,169.0
2018-11-30,,,66.0,171.0
2018-12-01,,,55.0,169.0
2018-12-02,,,59.0,167.0
2018-12-03,,,52.0,
2018-12-04,,,57.0,
2018-12-05,,,57.0,
2018-12-06,,,57.0,
2018-12-07,,,63.0,
2018-12-08,,,61.0,168.0
2018-12-09,,,55.0,
2018-12-10,,,56.0,
2018-12-11,,,57.0,
2018-12-12,,,,
2018-12-13,,,66.0,
2018-12-14,,,64.0,
2018-12-15,,,,170.0
2018-12-16,,,55.0,170.0
2018-12-17,,,67.0,171.0
2018-12-18,,,67.0,
2018-12-19,,,62.0,170.0
2018-12-20,,,49.0,
2018-12-21,,,54.0,170.0
2018-12-22,,,68.0,170.0
2018-12-23,,,67.0,
2018-12-24,,,63.0,
2018-12-25,,,57.0,
2018-12-26,,,63.0,170.0
2018-12-27,,,60.0,
2018-12-28,,,55.0,
2018-12-29,,,57.0,171.0
2018-12-30,,,65.0,169.0
2018-12-31,,,57.0,169.0
2019-01-01,,,62.0,
2019-01-02,,,60.0,
2019-01-03,,,60.0,
2019-01-04,,,54.0,171.0
2019-01-05,,,52.0,172.0
2019-01-06,,,74.0,171.0
2019-01-07,,,53.0,169.0
2019-01-08,,,61.0,
2019-01-09,,,54.0,
2019-01-10,,,54.0,
2019-01-11,,,66.0,
2019-01-12,,,64.0,169.0
2019-01-13,,,,
2019-01-14,,,57.0,
2019-01-15,,,56.0,
2019-01-16,,,74.0,170.0
2019-01-17,,,59.0,170.0
2019-01-18,,,79.0,
2019-01-19,,,52.0,167.0
2019-01-20,,,56.0,
2019-01-21,,,62.0,169.0
2019-01-22,,,54.0,
2019-01-23,,,64.0,
2019-01-24,,,64.0,
2019-01-25,,,51.0,
2019-01-26,,,56.0,167.0
2019-01-27,,,54.0,168.0
2019-01-28,,,60.0,
2019-01-29,,,54.0,
2019-01-30,,,50.0,
2019-01-31,,,63.0,168.0
2019-02-01,,,55.0,
2019-02-02,,,56.0,166.0
2019-02-03,,,66.0,168.0
2019-02-04,,,60.0,
2019-02-05,,,67.0,
2019-02-06,,,60.0,
2019-02-07,,,63.0,
2019-02-08,,,45.0,
2019-02-09,,,67.0,
2019-02-10,,,63.0,170.0
2019-02-11,,,60.0,172.0
2019-02-12,,,60.0,170.0
2019-02-13,,,76.0,169.0
2019-02-14,,,54.0,
2019-02-15,,,61.0,
2019-02-16,,,57.0,
