Date,Body fat(%)
1/5/2020,14.6191
1/5/2020,14.6191
1/5/2020,14.166
1/6/2020,13.9701
1/6/2020,13.9701
1/7/2020,13.8082
1/8/2020,13.8082
1/9/2020,13.6177
1/10/2020,13.6122
1/10/2020,13.6122
1/10/2020,13.6122
1/14/2020,13.702
1/15/2020,13.702
1/16/2020,13.4558
1/17/2020,13.6068
1/22/2020,13.8027
1/23/2020,13.6177
1/24/2020,13.7633
1/28/2020,13.7075
1/29/2020,13.9034
1/30/2020,13.6626
1/31/2020,14.1714
2/4/2020,13.5619
2/5/2020,13.6517
2/6/2020,13.4163
2/7/2020,13.4
2/8/2020,13.6177
2/10/2020,13.517
2/11/2020,13.6122
2/13/2020,13.4163
2/18/2020,13.8027
2/19/2020,13.551
2/25/2020,13.3551
2/26/2020,13.4721
2/27/2020,13.5061
2/28/2020,13.5565
3/3/2020,13.6231
3/4/2020,13.6122
3/5/2020,13.4558
3/10/2020,14.0095
3/11/2020,13.7578
3/12/2020,13.7633
3/13/2020,13.8694
3/17/2020,13.6571
7/9/2020,13.9429
7/9/2020,13.6408
7/11/2020,13.5959
7/12/2020,13.5347
7/13/2020,13.6857
7/14/2020,13.6014
7/15/2020,13.6857
7/16/2020,14.0993
7/16/2020,13.6912
7/16/2020,13.6912
7/16/2020,13.6912
7/17/2020,13.7864
7/17/2020,13.7864
7/19/2020,13.7469
7/20/2020,13.781
7/20/2020,13.781
7/22/2020,13.7864
7/25/2020,13.8422
7/27/2020,13.7361
7/28/2020,13.9034
7/28/2020,13.8871
7/29/2020,13.9483
7/30/2020,13.8422
7/31/2020,13.5959
8/1/2020,13.6912
8/3/2020,13.7361
8/4/2020,13.9878
8/4/2020,13.7864
8/7/2020,13.898
8/7/2020,13.8422
8/10/2020,13.8422
8/12/2020,13.781
8/14/2020,13.6803
8/19/2020,13.8367
8/21/2020,13.9483
8/21/2020,13.9429
8/22/2020,13.6857
8/24/2020,13.5959
8/25/2020,13.8816
8/28/2020,13.898
8/29/2020,13.702
9/1/2020,13.7973
9/4/2020,13.898
9/8/2020,13.7306
9/11/2020,13.7918
9/14/2020,13.8313
9/14/2020,13.8027
9/20/2020,14.0884
9/20/2020,13.6912
9/20/2020,13.6912
9/20/2020,13.6912
9/20/2020,13.6912
9/22/2020,13.9986
9/22/2020,13.9986
9/23/2020,14.0939
10/9/2020,13.9823
10/9/2020,13.9823
10/15/2020,14.2952
10/15/2020,14.234
10/17/2020,13.7306
10/18/2020,13.8476
10/18/2020,13.7973
10/19/2020,13.8422
10/22/2020,14.083
10/22/2020,14.083
11/1/2020,14.0381
11/3/2020,14.083
11/18/2020,14.3007
11/30/2020,14.4014
12/1/2020,14.5918
12/2/2020,14.3401
12/3/2020,14.2898
12/4/2020,14.2449
12/4/2020,14.2
12/6/2020,14.1946
12/9/2020,14.3456
12/10/2020,14.4571
12/11/2020,14.3401
12/11/2020,14.3401
12/16/2020,14.3007
12/16/2020,14.3007
12/17/2020,14.1388
12/18/2020,13.9986
12/20/2020,14.0327
1/4/2021,13.9483
1/6/2021,13.8871
1/10/2021,13.9374
1/11/2021,13.8816
1/19/2021,14.049
1/26/2021,14.1497
6/12/2022,13.5
