Date,Heart rate(bpm)
10/15/2018,92
10/16/2018,51
10/17/2018,56
10/18/2018,58
10/19/2018,57
10/20/2018,85
10/21/2018,51
10/22/2018,56
10/23/2018,55
10/24/2018,51
10/25/2018,54
10/26/2018,60
10/27/2018,57
10/28/2018,69
10/29/2018,51
10/30/2018,66
10/31/2018,68
11/1/2018,67
11/2/2018,55
11/3/2018,62
11/4/2018,56
11/5/2018,88
11/6/2018,63
11/7/2018,54
11/8/2018,60
11/9/2018,90
11/10/2018,101
11/11/2018,67
11/12/2018,62
11/13/2018,59
11/14/2018,57
11/15/2018,61
11/16/2018,103
11/17/2018,67
11/18/2018,54
11/19/2018,63
11/20/2018,52
11/21/2018,51
11/22/2018,54
11/23/2018,65
11/24/2018,62
11/25/2018,57
11/26/2018,58
11/27/2018,57
11/28/2018,63
11/29/2018,58
11/30/2018,66
12/1/2018,55
12/2/2018,59
12/3/2018,52
12/4/2018,57
12/5/2018,57
12/6/2018,57
12/7/2018,63
12/8/2018,61
12/9/2018,55
12/10/2018,56
12/11/2018,57
12/13/2018,66
12/14/2018,64
12/16/2018,55
12/17/2018,67
12/18/2018,67
12/19/2018,62
12/20/2018,49
12/21/2018,54
12/22/2018,68
12/23/2018,67
12/24/2018,63
12/25/2018,57
12/26/2018,63
12/27/2018,60
12/28/2018,55
12/29/2018,57
12/30/2018,65
12/31/2018,57
1/1/2019,62
1/2/2019,60
1/3/2019,60
1/4/2019,54
1/5/2019,52
1/6/2019,74
1/7/2019,53
1/8/2019,61
1/9/2019,54
1/10/2019,54
1/11/2019,66
1/12/2019,64
1/14/2019,57
1/15/2019,56
1/16/2019,74
1/17/2019,59
1/18/2019,79
1/19/2019,52
1/20/2019,56
1/21/2019,62
1/22/2019,54
1/23/2019,64
1/24/2019,64
1/25/2019,51
1/26/2019,56
1/27/2019,54
1/28/2019,60
1/29/2019,54
1/30/2019,50
1/31/2019,63
2/1/2019,55
2/2/2019,56
2/3/2019,66
2/4/2019,60
2/5/2019,67
2/6/2019,60
2/7/2019,63
2/8/2019,45
2/9/2019,67
2/10/2019,63
2/11/2019,60
2/12/2019,60
2/13/2019,76
2/14/2019,54
2/15/2019,61
2/16/2019,57
2/17/2019,60
2/18/2019,60
2/19/2019,62
2/20/2019,56
2/21/2019,53
2/22/2019,54
2/23/2019,61
2/24/2019,60
2/25/2019,67
2/26/2019,71
2/27/2019,55
2/28/2019,48
3/1/2019,62
3/2/2019,62
3/3/2019,74
3/4/2019,50
3/5/2019,64
3/6/2019,65
3/7/2019,58
3/8/2019,68
3/9/2019,65
3/10/2019,63
3/11/2019,63
3/12/2019,56
3/13/2019,57
3/14/2019,59
3/15/2019,60
3/16/2019,59
3/17/2019,64
3/18/2019,58
3/19/2019,48
3/20/2019,56
3/21/2019,56
3/22/2019,63
3/23/2019,54
3/24/2019,60
3/25/2019,56
3/26/2019,54
3/27/2019,168
3/28/2019,60
3/29/2019,63
3/30/2019,54
3/31/2019,54
4/1/2019,64
4/2/2019,55
4/3/2019,58
4/4/2019,72
4/6/2019,81
4/7/2019,100
4/8/2019,64
4/9/2019,60
4/10/2019,64
4/11/2019,60
4/12/2019,64
4/13/2019,70
4/14/2019,68
4/15/2019,65
4/16/2019,66
4/17/2019,69
4/18/2019,55
4/19/2019,56
4/20/2019,70
4/21/2019,54
4/22/2019,59
4/23/2019,54
4/24/2019,90
4/25/2019,59
4/26/2019,57
4/27/2019,66
4/28/2019,58
4/29/2019,67
4/30/2019,50
5/1/2019,62
5/2/2019,57
5/3/2019,73
5/4/2019,53
5/5/2019,73.5632
5/11/2019,80.3045
5/12/2019,72.3781
5/13/2019,65
5/14/2019,52
5/15/2019,57
5/16/2019,68.6934
5/17/2019,71.7439
5/18/2019,81.4025
5/19/2019,72.768
5/20/2019,82.7321
5/21/2019,76.5443
5/22/2019,81.3613
5/23/2019,70.8835
5/24/2019,67.3634
5/25/2019,67.946
5/26/2019,74.842
5/27/2019,70.6455
5/28/2019,65.8654
5/29/2019,71.3091
5/30/2019,73.7446
5/31/2019,81.6569
6/1/2019,70
6/2/2019,52
6/3/2019,54
6/4/2019,60
6/5/2019,55
6/6/2019,60
6/7/2019,67
6/9/2019,67
6/10/2019,56
6/11/2019,63
6/12/2019,54
6/13/2019,60
6/14/2019,49
6/15/2019,60
6/16/2019,63
6/17/2019,57
6/18/2019,53
6/19/2019,60
6/20/2019,57
6/21/2019,54
6/22/2019,70
6/23/2019,63
6/24/2019,48
6/25/2019,54
6/26/2019,55
6/27/2019,60
6/28/2019,58
6/29/2019,70
6/30/2019,59
7/1/2019,60
7/2/2019,56
7/3/2019,55
7/4/2019,77
7/5/2019,54
7/6/2019,63
7/7/2019,58
7/8/2019,54
7/9/2019,54
7/10/2019,62
7/11/2019,58
7/12/2019,57
7/13/2019,57
7/14/2019,54
7/15/2019,62
7/16/2019,71
7/17/2019,49
7/18/2019,72
7/19/2019,65
7/20/2019,74
7/21/2019,54
7/22/2019,62
7/23/2019,60
7/24/2019,51
7/25/2019,62
7/26/2019,60
7/27/2019,51
7/28/2019,59
7/29/2019,60
7/30/2019,58
7/31/2019,87
8/1/2019,54
8/2/2019,55
8/3/2019,62
8/4/2019,88
8/5/2019,58
8/6/2019,52
8/7/2019,53
8/8/2019,63
8/9/2019,60
8/10/2019,82
8/11/2019,64
8/12/2019,55
8/13/2019,63
8/14/2019,66
8/15/2019,62
8/16/2019,60
8/17/2019,63
8/18/2019,54
8/19/2019,50
8/20/2019,59
8/21/2019,59
8/22/2019,54
8/23/2019,62
8/24/2019,71
8/25/2019,62
8/26/2019,101
8/27/2019,49
8/28/2019,60
8/29/2019,54
8/30/2019,60
8/31/2019,59
9/1/2019,60
9/2/2019,65
9/3/2019,55
9/4/2019,58
9/5/2019,60
9/6/2019,57
9/7/2019,56
9/8/2019,63
9/9/2019,66
9/10/2019,57
9/11/2019,60
9/12/2019,63
9/13/2019,63
9/14/2019,60
9/15/2019,62
9/16/2019,49
9/17/2019,99
9/18/2019,53
9/19/2019,46
9/20/2019,54
9/21/2019,56
9/22/2019,52
9/23/2019,78
9/24/2019,59
9/25/2019,70
9/26/2019,62
9/27/2019,70
9/28/2019,58
9/29/2019,53
9/30/2019,61
10/1/2019,51
10/2/2019,104
10/3/2019,54
10/7/2019,66
10/8/2019,52
10/23/2019,61
12/17/2019,59
12/18/2019,60
12/19/2019,118
12/30/2019,58
12/31/2019,102
1/1/2020,69
1/2/2020,62
1/3/2020,115
1/4/2020,91
1/5/2020,72
1/6/2020,111
1/7/2020,55
1/8/2020,64
1/9/2020,109
1/10/2020,137
1/11/2020,110
1/12/2020,55
1/13/2020,59
1/14/2020,93
1/15/2020,68
1/16/2020,81
1/17/2020,56
1/18/2020,66
1/19/2020,83
1/20/2020,94
1/21/2020,139
1/22/2020,93
1/23/2020,90
1/24/2020,84
1/25/2020,71
1/26/2020,79
1/27/2020,81
1/28/2020,90
1/29/2020,81
1/30/2020,61
1/31/2020,63
2/1/2020,90
2/2/2020,126
2/3/2020,66
2/4/2020,86
2/5/2020,54
2/6/2020,74
2/7/2020,63
2/8/2020,75
2/9/2020,54
2/10/2020,100
2/11/2020,81
2/12/2020,60
2/13/2020,75
2/14/2020,60
2/15/2020,66
2/16/2020,81
2/17/2020,90
2/18/2020,75
2/19/2020,67
2/20/2020,87
2/21/2020,62
2/22/2020,72
2/23/2020,69
2/24/2020,112
2/28/2020,72
2/29/2020,72
3/1/2020,66
3/2/2020,133
3/3/2020,85
3/4/2020,102
3/5/2020,115
3/6/2020,51
3/7/2020,84
3/9/2020,58
3/10/2020,58
3/11/2020,110
3/12/2020,65
3/13/2020,57
3/14/2020,76
3/15/2020,60
3/16/2020,54
3/17/2020,60
3/18/2020,61
3/19/2020,60
3/20/2020,55
3/21/2020,55
3/22/2020,59
3/23/2020,68
3/24/2020,55
3/25/2020,89
3/26/2020,63
3/27/2020,54
3/28/2020,85
3/29/2020,61
3/30/2020,54
3/31/2020,69
4/1/2020,56
4/2/2020,54
4/5/2020,68
4/6/2020,74
4/7/2020,63
4/8/2020,71
4/9/2020,60
4/10/2020,60
4/11/2020,53
4/12/2020,61
4/13/2020,58
4/14/2020,63
4/15/2020,57
4/16/2020,52
4/17/2020,56
4/18/2020,56
4/19/2020,62
4/20/2020,61
4/21/2020,56
4/22/2020,58
4/23/2020,55
4/24/2020,59
4/25/2020,55
4/26/2020,55
4/27/2020,63
4/28/2020,101
4/29/2020,88
4/30/2020,63
5/1/2020,111
5/2/2020,91
5/3/2020,128
5/4/2020,94
5/5/2020,55
5/6/2020,61
5/7/2020,55
5/8/2020,67
5/9/2020,57
5/10/2020,60
5/11/2020,66
5/12/2020,60
5/13/2020,77
5/14/2020,57
5/15/2020,65
5/16/2020,56
5/17/2020,58
5/18/2020,58
5/19/2020,61
