Date,Health Score,Sleep score,Macro score,Vitamin and Mineral Score,Sleep(hours),Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2019-01-06,0.794903021508512,0.8794804727564093,0.6897320968206447,0.9530623015873015,7.035843782051274,1363.59,0.0,319.16,2256.45,2.18,2.62,19.3,6.68,2.28,6.54,574.26,37354.34,155.61,215.24,11.97,376.67,1144.87,2.48,22.21,343.03,3.44,981.34,4337.51,59.2,2278.05,11.28,181.32,40.81,29.25,85.4,140.52,43.99,76.3,13.74,12.33,10.66,1.31,0.95,6.44,0.65,1.62,2.41,4.13,3.71,1.0,2.45,83.15,2.36,0.53,1.59,2.81
2019-01-07,0.7699765181780073,0.8794804727564093,0.6850401621787026,0.8331217195767197,7.035843782051274,1914.43,0.0,966.69,3863.38,1.37,3.9,25.81,10.29,2.66,6.15,422.33,8577.71,132.83,240.21,7.48,261.49,2364.9,2.17,21.75,469.81,4.54,1551.34,4751.87,75.17,2109.64,10.12,188.35,42.08,16.33,83.72,146.27,82.48,245.53,26.98,10.17,34.2,1.3,1.16,7.03,0.87,2.78,4.24,7.12,7.04,2.1,4.03,130.35,3.49,1.16,3.59,4.69
2019-01-08,0.7971949726021637,0.8794804727564093,0.809494190981956,0.8447599628942484,7.035843782051274,1984.44,0.0,142.08,1502.18,0.99,1.43,21.25,6.53,2.19,0.36,499.56,31396.97,432.41,7.75,24.38,360.16,844.83,1.19,11.18,249.24,4.39,698.56,3429.24,44.87,1407.8,5.85,247.46,51.61,24.44,145.38,195.85,92.48,135.2,38.67,17.2,24.43,1.05,2.23,8.28,0.67,1.31,2.07,3.15,3.02,0.98,1.85,69.64,1.97,0.53,1.41,2.26
2019-01-09,0.738639481922851,0.8794804727564093,0.7124687216211947,0.6490079788584465,7.035843782051274,1576.35,0.0,142.08,1114.63,0.87,1.48,6.3,3.26,0.86,1.71,400.87,3753.61,133.98,80.03,5.77,299.93,663.89,0.91,14.01,124.85,1.47,450.43,2233.17,32.48,2956.47,2.77,155.89,25.2,27.13,79.46,130.68,79.42,339.01,3.19,2.58,18.94,0.17,0.54,1.51,0.29,0.56,0.85,1.51,1.24,0.39,0.94,78.52,0.81,0.27,0.68,1.07
2019-01-10,0.7501620083568405,0.8794804727564093,0.5654132991936064,0.8536760334559823,7.035843782051274,1733.92,0.0,0.0,1045.73,1.2,2.33,23.37,5.77,2.76,9.07,287.57,2447.23,106.1,777.65,9.6,203.25,879.63,1.57,12.96,220.8,1.69,952.54,2956.43,115.73,2646.92,4.36,189.79,17.31,38.48,68.96,172.47,64.9,480.78,11.47,10.58,19.34,0.45,5.26,4.15,0.68,1.91,2.97,5.21,5.23,1.67,2.7,107.55,2.76,0.77,2.21,3.36
2019-01-11,0.806720754127332,0.8794804727564093,0.8573675943656967,0.8445154671363495,7.035843782051274,2309.0,0.0,108.14,1320.45,1.37,1.73,12.83,3.43,1.34,2.68,383.8,4314.23,73.02,153.74,5.83,129.0,1509.28,1.84,16.26,349.19,3.07,1464.74,2814.02,62.85,3808.32,9.8,270.29,34.33,53.23,122.39,235.96,110.45,174.57,30.62,11.99,55.06,3.18,1.2,7.14,0.6,2.12,3.11,5.74,5.33,1.54,3.36,78.1,2.58,0.89,2.98,3.9
2019-01-12,0.779061613935371,0.8794804727564093,0.7771966799265606,0.7863906806156806,7.035843782051274,2154.64,0.08,105.0,2130.32,2.24,3.46,39.39,11.66,4.01,10.85,675.79,10025.27,369.83,1086.32,24.44,529.28,1149.84,2.48,23.46,445.24,4.12,1399.41,3979.49,111.16,1418.14,6.73,300.99,39.47,53.07,173.47,261.52,66.13,130.58,13.67,16.95,11.6,2.72,5.57,6.79,0.75,1.97,3.01,5.25,5.28,1.71,2.83,105.47,2.83,0.81,2.13,3.46
2019-01-13,0.7903935547025462,0.8794804727564093,0.7455921052631578,0.8746549591149592,7.035843782051274,2507.99,0.0,0.0,1370.23,2.58,3.71,25.02,6.99,2.63,8.27,755.04,11172.32,258.37,505.26,13.07,613.7,1525.58,2.16,20.89,419.21,2.96,1516.3,4232.62,131.48,1602.05,9.17,361.71,50.07,63.88,155.44,311.65,68.26,121.14,12.15,12.65,14.61,0.27,1.2,7.02,0.84,2.47,3.27,5.62,5.21,1.52,3.17,127.17,3.13,0.98,2.35,3.82
2019-01-14,0.7291728247232491,0.8794804727564093,0.5874390552456226,0.726704359236009,7.035843782051274,1238.65,0.03,238.17,1289.38,1.42,1.93,22.26,5.63,1.92,5.21,156.26,4234.52,106.55,474.39,7.26,47.95,325.85,0.92,7.27,171.97,1.33,811.77,2213.16,119.28,823.14,5.7,149.91,20.46,28.37,48.79,129.45,41.32,198.21,14.59,8.99,13.98,1.35,3.44,4.75,0.86,2.27,3.24,5.55,5.78,1.83,2.86,76.39,3.03,0.87,2.39,3.65
2019-01-15,0.752238512009891,0.8794804727564093,0.5223054890560875,0.9071663618587532,7.035843782051274,1928.85,0.05,145.45,1419.9,1.96,1.81,25.83,6.73,3.15,6.87,272.72,13372.36,379.67,500.18,12.9,102.88,721.08,1.52,19.24,251.93,2.01,1005.25,3656.09,99.15,3156.45,9.35,279.03,69.19,30.47,132.65,209.84,46.11,207.18,15.44,7.92,15.04,2.21,4.2,2.86,0.86,2.39,3.59,6.27,6.46,1.94,3.37,112.68,3.3,0.8,2.48,4.1
