Date,Weight(lbs)
11/2/2018,169
11/4/2018,167
11/5/2018,169
11/7/2018,170
11/8/2018,171
11/10/2018,170
11/11/2018,169
11/13/2018,168
11/18/2018,170
11/19/2018,169
11/21/2018,167
11/25/2018,169
11/26/2018,170
11/27/2018,171
11/28/2018,171
11/29/2018,169
11/30/2018,171
12/1/2018,169
12/2/2018,167
12/8/2018,168
12/15/2018,170
12/16/2018,170
12/17/2018,171
12/19/2018,170
12/21/2018,170
12/22/2018,170
12/26/2018,170
12/29/2018,171
12/30/2018,169
12/31/2018,169
1/4/2019,171
1/5/2019,172
1/6/2019,171
1/7/2019,169
1/12/2019,169
1/16/2019,170
1/17/2019,170
1/19/2019,167
1/21/2019,169
1/26/2019,167
1/27/2019,168
1/31/2019,168
2/2/2019,166
2/3/2019,168
2/10/2019,170
2/11/2019,172
2/12/2019,170
2/13/2019,169
2/19/2019,171
2/24/2019,169
2/26/2019,172
3/3/2019,170
3/8/2019,172
3/9/2019,171
3/9/2019,169
3/12/2019,171
3/17/2019,171
3/21/2019,170
3/23/2019,169
3/24/2019,170
3/26/2019,169
3/27/2019,168
3/30/2019,168
3/31/2019,167
4/1/2019,170
4/6/2019,170
4/11/2019,171
4/20/2019,171
4/21/2019,170
4/24/2019,169
4/30/2019,171
5/1/2019,172
5/2/2019,169
5/3/2019,169
5/3/2019,168
5/4/2019,166
5/5/2019,167
5/11/2019,167
5/12/2019,168
5/18/2019,169
5/31/2019,167
6/8/2019,167
6/9/2019,168
6/14/2019,167
6/15/2019,165
6/16/2019,164
6/20/2019,167
6/21/2019,166
6/22/2019,165
6/23/2019,167
6/23/2019,165
6/24/2019,166
6/25/2019,166
6/29/2019,166
6/30/2019,166
7/1/2019,168
7/2/2019,167
7/4/2019,164
7/6/2019,165
7/7/2019,164
7/8/2019,166
7/11/2019,165
7/13/2019,165
7/14/2019,165
7/20/2019,165
7/21/2019,165
7/22/2019,166
8/7/2019,166
8/8/2019,165
8/12/2019,166
8/17/2019,163
8/18/2019,164
8/22/2019,163
8/25/2019,164
8/27/2019,165
8/29/2019,164
8/31/2019,163
9/1/2019,162
9/2/2019,163
9/7/2019,162
9/8/2019,163
9/9/2019,164
9/10/2019,164
9/11/2019,164
9/14/2019,163
9/15/2019,163
9/21/2019,162
9/22/2019,162
9/24/2019,162
9/28/2019,160
1/4/2020,165
1/5/2020,172.842
1/5/2020,172.842
1/5/2020,168.874
1/6/2020,167.221
1/6/2020,167.221
1/7/2020,165.677
1/8/2020,165.677
1/9/2020,164.134
1/10/2020,164.024
1/10/2020,164.024
1/10/2020,164.024
1/14/2020,164.685
1/15/2020,164.685
1/16/2020,162.591
1/17/2020,163.914
1/22/2020,165.567
1/23/2020,164.134
1/24/2020,165.347
1/25/2020,163
1/28/2020,164.796
1/29/2020,166.449
1/30/2020,164.465
1/31/2020,168.984
2/2/2020,164
2/4/2020,163.583
2/5/2020,164.244
2/6/2020,162.37
2/7/2020,162.04
2/8/2020,164.134
2/10/2020,163.252
2/11/2020,164.024
2/13/2020,162.37
2/15/2020,163
2/18/2020,165.567
2/19/2020,163.363
2/22/2020,163
2/25/2020,161.709
2/26/2020,162.922
2/27/2020,163.032
2/28/2020,163.473
3/1/2020,163.8
3/3/2020,164.244
3/4/2020,164.024
3/5/2020,162.591
3/6/2020,163
3/7/2020,163
3/10/2020,167.441
3/11/2020,165.236
3/12/2020,165.347
3/13/2020,166.339
3/15/2020,163
3/16/2020,164
3/17/2020,164.355
3/28/2020,164
4/4/2020,164
4/9/2020,166
4/11/2020,166
4/13/2020,166
4/17/2020,165
4/18/2020,164
4/23/2020,166
4/29/2020,167
5/1/2020,167
5/5/2020,168
5/7/2020,166
5/9/2020,166
5/10/2020,165
5/16/2020,165
5/18/2020,165
5/19/2020,165
5/30/2020,166
6/3/2020,165
6/8/2020,165
6/10/2020,165
6/14/2020,166
6/17/2020,166
6/21/2020,166
7/6/2020,163
7/8/2020,163
7/9/2020,166.669
7/9/2020,164.024
7/11/2020,163.693
7/12/2020,163.032
7/13/2020,164.355
7/14/2020,163.803
7/15/2020,164.355
7/16/2020,168.102
7/16/2020,164.465
7/16/2020,164.465
7/16/2020,164.465
7/17/2020,165.236
7/17/2020,165.236
7/19/2020,165.016
7/19/2020,165
7/20/2020,165.126
7/20/2020,165.126
7/22/2020,165.236
7/25/2020,165.788
7/27/2020,164.796
7/28/2020,166.449
7/28/2020,166.118
7/29/2020,166.78
7/30/2020,165.788
7/31/2020,163.693
8/1/2020,164.465
8/3/2020,164.796
8/4/2020,167
8/4/2020,165.236
8/7/2020,166.339
8/7/2020,165.788
8/8/2020,165
8/10/2020,165.788
8/11/2020,166
8/12/2020,165.126
8/14/2020,164.244
8/18/2020,167
8/19/2020,165.677
8/21/2020,166.78
8/21/2020,166.669
8/22/2020,164.355
8/24/2020,163.693
8/25/2020,166.008
8/28/2020,166.339
8/29/2020,164.685
9/1/2020,165.457
9/4/2020,166.339
9/8/2020,164.685
9/11/2020,165.347
9/14/2020,165.567
9/14/2020,165.567
9/20/2020,167.882
9/20/2020,164.465
9/20/2020,164.465
9/20/2020,164.465
9/20/2020,164.465
9/22/2020,167.221
9/22/2020,167.221
9/23/2020,167.992
10/9/2020,166.89
10/9/2020,166.89
10/15/2020,169.756
10/15/2020,169.095
10/17/2020,164.685
10/18/2020,165.898
10/18/2020,165.457
10/19/2020,165.788
10/20/2020,165.6
10/22/2020,167.772
10/22/2020,167.772
11/1/2020,167.441
11/3/2020,167.772
11/18/2020,169.866
11/30/2020,170.748
12/1/2020,172.291
12/2/2020,170.087
12/3/2020,169.646
12/4/2020,169.315
12/4/2020,168.984
12/4/2020,168.984
12/6/2020,168.874
12/9/2020,170.197
12/10/2020,171.299
12/11/2020,170.087
12/11/2020,170.087
12/16/2020,169.866
12/16/2020,169.866
12/17/2020,168.323
12/18/2020,167.221
12/20/2020,167.331
1/4/2021,166.8
1/6/2021,166.2
1/10/2021,166.6
1/11/2021,166
1/19/2021,167.6
1/26/2021,168.6
5/3/2021,173
5/19/2021,170
5/31/2021,170
6/2/2021,170
6/15/2021,167
6/17/2021,167
7/12/2021,166.6
7/22/2021,167
8/9/2021,167
9/22/2021,166.4
6/12/2022,162
